eta,candidate_valid,blocked_predictive_neg_loglik,blocked_predictive_effective_n_median,blocked_predictive_min_training_weight_sum,min_weight,max_weight,max_row_sum_error,max_column_sum_error,symmetry_error,mean_C_relative_error,effective_n_min,effective_n_median,effective_n_max,diagonal_weight_median,grid_extension_round
1.2369768566377664,True,2083.442840055068,2.0600309136254675,2.932700554085982e-06,3.2198630696922752e-173,0.654109227109622,4.440892098500626e-16,4.440892098500626e-16,0.0,3.709097029675404e-16,2.057593314862107,3.3288988607406877,3.3288988607406877,0.48600468944807834,0
1.26601585194789,True,2090.843893093494,2.041721634461166,2.559965206778114e-06,4.66955089387684e-175,0.6580051980080405,2.220446049250313e-16,6.661338147750939e-16,0.0,3.6921192339047155e-16,2.039489666729899,3.288405629898615,3.2884056298986164,0.49031873821817,1
2.731446793525014,True,2334.7366921809735,1.5699316049522969,1.4132697747970174e-08,2.1221889440468135e-245,0.778255891847701,5.551115123125783e-16,7.771561172376096e-16,0.0,7.876528614307857e-16,1.5698488388590126,2.233429729595163,2.233429729595163,0.6370040065302168,2
2.8241569653043417,True,2344.697532746378,1.5545324924510184,1.0936227141187815e-08,7.195798192193179e-249,0.782943751056089,4.440892098500626e-16,3.3306690738754696e-16,0.0,3.6833064928486445e-16,1.554461923097618,2.1989110711155666,2.198911071115567,0.6433094211836808,0
2.8571143049502465,True,2348.148311616287,1.549264598215532,9.997777053050537e-09,4.3955907365091586e-250,0.7845605223985105,4.440892098500626e-16,4.440892098500626e-16,0.0,3.694262569819408e-16,1.5491978539599753,2.187106602527441,2.1871066025274413,0.6454953429246333,1
6.447867251418347,True,2590.269687210211,1.2729346014265468,8.987615521633663e-12,0.0,0.8799200844511492,3.3306690738754696e-16,3.3306690738754696e-16,0.0,3.685237475805988e-16,1.2729336849351511,1.574295826893866,1.574295826893866,0.7855868784326686,0
14.72120445239939,False,inf,0.0,2.185392510810765e-15,0.0,0.9399802584657816,2.220446049250313e-16,3.3306690738754696e-16,0.0,4.1923015756993403e-16,1.127704259730266,1.2625873972387542,1.2625873972387545,0.8867573136942734,0
33.610161636263946,False,inf,0.0,2.4278804709026042e-19,0.0,0.9718959479047969,3.3306690738754696e-16,3.3306690738754696e-16,0.0,3.684114800138689e-16,1.0578334587273246,1.1172453462403586,1.1172453462403589,0.9453283895965019,0
76.73577042343668,False,inf,0.0,1.765126718460626e-23,0.0,0.987297242985533,2.220446049250313e-16,2.220446049250313e-16,0.0,4.573623437208436e-16,1.0257323862792416,1.051787440564299,1.051787440564299,0.9749131580288856,0
175.19637442400878,False,inf,0.0,1.0440180526105883e-27,0.0,0.9943563639274291,2.220446049250313e-16,2.220446049250313e-16,0.0,4.579209423488519e-16,1.0113513349485292,1.0227663691244369,1.022766369124437,0.9887760716219287,0
399.9929816556962,False,inf,0.0,5.615786647559634e-32,0.0,0.9975123789869675,2.220446049250313e-16,2.220446049250313e-16,0.0,3.6911681181494313e-16,1.0049876494075367,1.0099876752550945,1.0099876752550945,0.99503710377886,0
